Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,-25109.3721427617,0.459637434869136,0.792881968698887,0.939141227519515,0.924534580982184,0.91703861260244,1
1,-2159.69541528239,0.587007169139067,0.803881169015498,0.990149979299287,0.598698471237301,1,1
2,-14832.3044315992,0.718127950426488,0.877525848606592,1,0.220068801631544,0.933786671872615,0.942159780094862
3,-21015.74970012,0.476275878530799,0.970864293575729,1,0.558721987391236,1,1
4,-8124.967107449,0.548061763151271,0.786115016550632,0.872624780813455,0.264321692993332,1,1
5,-1454.32892551,0.330972377468847,0.942329490540937,1,0.177345671606883,1,1
6,-12502.1402366077,0.16055197191689,1,0.849468855429353,0.12747850802038,0.913851625093828,0.967235229552984
7,-12247.8797302236,0.235970378362093,0.768684293107567,1,0.0815839874753509,0.959372270877505,1
8,-15297.1051669713,0.0978492181867557,0.782715560209033,1,0,0.920451754755625,0.949371307140532
9,-17835.343202814,0.55143226216017,0.479731608253538,1,0.0218350961847104,0.429723921228275,1
10,-17198.0629382248,0.174705381121922,0.162604972693319,1,0.304621632537023,0.611818015423325,1
11,-14403.0260366442,0,0.182850683331107,0.685535492049847,0,0.816430166961087,0.798205975483559
12,-9132.42424242424,0.147755585140973,0,0.933357489917507,0.00754732995927724,0.702467250435868,0.886346932910848
13,-8666.19543476094,0.147755585140973,0,0.933357489917507,0.00754732995927724,0.702467250435868,0.886346932910848
14,-5922.20960875735,0.218866477753099,0.113506498279455,0.803976775966519,0,0.0319436755668067,0.813503867130264
15,-3085.19925383446,0.218866477753099,0.113506498279455,0.803976775966519,0,0.0319436755668067,0.813503867130264
16,-13049.53261688,0.218866477753099,0.113506498279455,0.803976775966519,0,0.0319436755668067,0.813503867130264
17,-13895.7747709655,0.248548408995168,0.017552914145011,0.881696624464981,0,0.601351218305619,1
18,-13997.4161503098,0.00180797089643339,0,0.985467891440043,0,0.481550623155116,1
19,-10586.6293173399,0.488975766363841,0,0.941969488603736,0,0,0.772126116911591
20,-12974.945524429,0.240522458174559,0,1,0,0.267975047427536,0.961300030416075
21,-12655.4992305603,0.240522458174559,0,1,0,0.267975047427536,0.961300030416075
22,-11411.4008526328,0,0,0.996693326535224,0,0.0736958707978221,1
23,-13404.8642394822,0.328281786812875,0,0.719697562662581,0,0.466504221260524,1
24,-12277.1962303665,0.514521175495302,0,0.842964743770376,0,0,1
25,-13030.0661381455,0.514521175495302,0,0.842964743770376,0,0,1
26,-11933.1298269224,0.240522458174559,0,1,0,0.267975047427536,0.961300030416075
27,-12157.2545306122,0.103490981879778,0,0.870255285988533,0,0.346949337276493,0.979870067871439
28,-11645.0381914556,0.270681630647732,0.00734737632370663,0.779353044267204,0,0,1
29,-13140.0330097087,0.381925584350995,0,1,0,0.274128892017062,0.945913156751405
30,-12185.0709512039,0.249013956139857,0,0.999072674244931,0,0.306952972486694,1
31,-12222.2917100387,0.249013956139857,0,0.999072674244931,0,0.306952972486694,1
32,-12429.0151682061,0.437794292088728,0,0.832539840793177,0,0.197003081034084,0.952675253571588
33,-13188.8942416259,0.258465265028367,0,1,0,0.450637344096607,1
34,-12752.1367777897,0.14131046377713,0,1,0,0.318429719918531,1
35,-13742.0784111426,0.421624855401452,0,1,0,0.275612158719604,1
36,-13154.9019958296,0.393304417802657,0,1,0,0.393452046008487,1
37,-10178.9472073451,0.260861183069046,0,1,0,0.211845280324451,0.997675657826805
38,-13563.5187865051,0.319433578097437,0,1,0,0.277432439468172,1
39,-12586.5300677892,0.141637357932393,0,0.988083383454505,0,0.208875562051821,1
40,-13580.358826912,0.249013956139857,0,0.999072674244931,0,0.306952972486694,1
41,-13043.902617801,0.503904728946016,0,0.974563664048276,0,0.299683378538624,0.998078359276467
42,-12438.8067921065,0.413353247562002,0,1,0,0.239105726471554,1
43,-13512.4145706852,0.211834300350862,0,1,0,0.202609544637862,1
44,-13160.636884307,0.502837677325147,0,1,0,0.40081944582135,1
45,-12175.1085383502,0.353072695110522,0,1,0.0243257781404753,0.522841034881032,1
46,-12839.233289066,0.154768250716741,0,1,0,0.316516875367784,1
47,-12511.3409174312,0.260861183069046,0,1,0,0.211845280324451,0.997675657826805
48,-12730.8205128205,0.524413740695719,0,1,0,0.296758632478416,1
49,-12707.8243537839,0.332828390241902,0,1,0,0.434952907119438,1
50,-13000.3370786517,0.432109168354079,0,1,0,0.38633838613807,1
51,-12669.7687089836,0.341829848799393,0,1,0,0.332910470585899,1
52,-12988.7791613723,0.341829848799393,0,1,0,0.332910470585899,1
53,-12677.8020679468,0.260380745872729,0,0.981603863440735,0,0.276824723690762,1
54,-11153.65,0.342703967088517,0,1,0,0.334558457403415,1
55,-12425.4673796791,0.33927174293721,0,1,0,0.164507598438076,1
56,-12880.6500356379,0.325323749974223,0,1,0,0.495382245362621,1
57,-12186.4070175439,0.156053435196528,0,1,0,0,1
58,-13282.9190992494,0.344647626291183,0,1,0.00142380755941394,0.153940046781689,1
59,-12742.6917681801,0.251099408036458,0,1,0,0.172170496900479,1
60,-12833.122324159,0.450774549191516,0,1,0,0.205661545585139,1
61,-13166.730954677,0.249013956139857,0,0.999072674244931,0,0.306952972486694,1
62,-12140.5977011494,0.459703162623888,0,1,0,0.430582583213912,1
63,-13104.8513331538,0.342703967088517,0,1,0,0.334558457403415,1
64,-12698.7719453022,0.410224820064251,0,1,0,0.445239416477867,1
65,-12651.9450469993,0.210228085262225,0,1,0,0.256331573980983,1
66,-13064.4514637904,0.325805907003335,0,1,0,0.219948867130772,1
67,-13185.4364882602,0.390945344470214,0,0.994894313670262,0,0.321961186716462,1
68,-11850.8150134048,0.294055931724467,0,1,0,0.274197105459946,1
69,-12577.4040958606,0.319433578097437,0,1,0,0.277432439468172,1
70,-13170.9772397094,0.249013956139857,0,0.999072674244931,0,0.306952972486694,1
71,-11869.36829559,0.467350828655081,0,1,0,0.302370153444969,1
72,-13264.7423203859,0.266903692837312,0,1,0,0.411665621249892,1
73,-13076.5080946451,0.376638652729468,0,1,0,0.242185023314564,1
74,-12888.6294368197,0.341829848799393,0,1,0,0.332910470585899,1
75,-13148.3360408447,0.251099408036458,0,1,0,0.172170496900479,1
76,-12798.3598233996,0.33927174293721,0,1,0,0.164507598438076,1
77,-12340.1669394435,0.413353247562002,0,1,0,0.239105726471554,1
78,-13453.3559322034,0.187808685108674,0,1,0,0.384471545647672,1
79,-11252.187269858,0.133503581312315,0,1,0.00775031094262329,0.0732906571848229,1
80,-12988.0369613851,0.341829848799393,0,1,0,0.332910470585899,1
81,-12564.6368582919,0.260380745872729,0,0.981603863440735,0,0.276824723690762,1
82,-11695.1486880466,0.508126647519255,0.000935802139392128,0.989325227707982,0.0116196336707634,0.404203495025226,1
83,-13119.9616801769,0.401315740399249,0,1,0,0.238839338629904,1
84,-12896.9887255602,0.33927174293721,0,1,0,0.164507598438076,1
85,-11556.8814814815,0.33927174293721,0,1,0,0.164507598438076,1
86,-11249.3765182186,0.210228085262225,0,1,0,0.256331573980983,1
87,-13038.4792079208,0.37604887703911,0,1,0,0.339859913579145,1
88,-13405.7370376924,0.197930790303347,0,1,0,0.339433788806426,1
89,-12777.2916666667,0.240251191683815,0,1,0,0.378206110598305,1
90,-12607.9246861925,0.443879586334019,0,1,0,0.374798139428162,1
91,-12239.9912536443,0.327961529585214,0,1,0,0.0705003204971056,1
92,-11049.6752136752,0.454666330904786,0,1,0,0.326443931775959,1
93,-12873.0800915332,0.340783141795575,0,1,0,0.317795658653895,1
94,-12410.4803149606,0.462267482136856,0,1,0,0.297553886252921,0.985756054364031
95,-13043.5407299976,0.33927174293721,0,1,0,0.164507598438076,1
96,-11976.6265060241,0.568667077336206,0,0.992364504919173,0.0365961942505011,0.274495095095833,1
97,-12112.4112676056,0.499874432967355,0,1,0.0205320375593809,0.170169588777643,1
98,-13273.2448979592,0.240251191683815,0,1,0,0.378206110598305,1
99,-12354.4111776447,0.283316311964289,0.0247588298556747,1,0,0.482817546677758,1
100,-13079.4075357298,0.189155932842502,0.00249178880182728,1,0,0.252634017430657,1
101,-13136.9058797228,0.391550597583047,0,1,0,0.297232223580424,1
102,-12927.3495007133,0.305716400389884,0,1,0,0.330440596983201,1
103,-12772.6724023825,0.531263439109772,0,1,0,0.334428477489115,1
104,-12871.8331423333,0.352477678378756,0,1,0,0.303477094286249,1
105,-12071.2954796031,0.293066879889899,0.0202918892174237,1,0,0.201963408527759,1
106,-12828.0260913196,0.240251191683815,0,1,0,0.378206110598305,1
107,-13060.8337965536,0.289911329569238,0,1,0,0.172661165780667,1
108,-12828.9638055843,0.352477678378756,0,1,0,0.303477094286249,1
109,-12857.2143334075,0.431551698111714,0,1,0,0.28419446025325,1
110,-12893.4782891175,0.289911329569238,0,1,0,0.172661165780667,1
111,-12897.0241286863,0.332657618866779,0,1,0,0.226648048125195,1
112,-11662.6460176991,0.368714908476002,0,1,0,0.250839895077449,0.999391204711202
113,-13127.0749824807,0.34330470217041,0,1,0,0.37020996765994,1
114,-12735.0138888889,0.305716400389884,0,1,0,0.330440596983201,1
115,-13167.7618069815,0.311168896059434,0,1,0,0.323585728490318,0.980824375674236
116,-11389.9397993311,0.172836831734469,0,1,0.0364285972528735,0.296252460050814,1
117,-12825.0909775852,0.368714908476002,0,1,0,0.250839895077449,0.999391204711202
118,-13280.7794676806,0.240111597498825,0,1,0,0.275586758630652,1
119,-12864.9505131129,0.170757612516838,0,1,0,0.274721511689611,1
